city,lat,long,max_temp,humidity,cloudiness,wind_spd,country,date
Hilo,19.73,-155.09,299.15,83,90,0.86,US,1604034008
Smoky Lake,54.12,-112.47,271.48,98,53,0.89,CA,1604034091
Sungai Penuh,-2.08,101.38,299.35,71,82,0.85,ID,1604034092
Sorong,-0.88,131.25,303.3,67,82,6.07,ID,1604034092
Castro,-24.79,-50.01,288.1,96,100,5.53,BR,1604033950
Rio Grande,-32.03,-52.1,282.04,95,11,4.07,BR,1604033835
Taunggyi,20.78,97.03,290.8,100,99,2.06,MM,1604034092
Chui,-33.7,-53.46,284.12,84,33,2.67,UY,1604034093
Leningradskiy,69.38,178.42,264.29,88,38,7.27,RU,1604034093
Den Helder,52.96,4.76,287.59,93,90,9.8,NL,1604034093
Wilmington,34.23,-77.94,300.15,78,90,9.3,US,1604034495
Barrow,71.29,-156.79,270.15,73,75,5.7,US,1604034093
Sitka,57.05,-135.33,276.15,86,1,2.1,US,1604034094
Vardø,70.37,31.11,272.15,92,75,6.2,NO,1604034094
Mendi,-6.18,143.65,290.41,94,90,1.34,PG,1604034094
Mar del Plata,-38.0,-57.56,280.93,93,0,2.1,AR,1604033879
Tiarei,-17.53,-149.33,300.15,78,75,2.6,PF,1604034095
Mayya,61.73,130.28,255.15,77,0,1.0,RU,1604034095
Amga,60.9,131.96,259.93,89,52,1.79,RU,1604034095
Vredendal,-31.67,18.5,284.69,58,4,4.66,ZA,1604034095
Malanje,-9.54,16.34,292.13,97,100,2.19,AO,1604034095
Porto-Novo,6.5,2.6,297.8,90,100,1.33,BJ,1604034096
Dhārchula,29.85,80.53,296.34,19,0,2.24,IN,1604034096
Ancud,-41.87,-73.82,281.48,87,0,6.2,CL,1604034096
Kavieng,-2.57,150.8,300.13,80,99,2.63,PG,1604034097
Hutchinson,38.06,-97.93,274.15,80,1,3.81,US,1604034057
Hong Kong,22.29,114.16,299.82,75,97,4.02,HK,1604033933
Provideniya,64.38,-173.3,268.15,67,0,0.91,RU,1604034097
Erdaojiang,41.78,126.03,284.13,40,0,0.19,CN,1604034097
Kununurra,-15.77,128.73,311.15,31,37,4.1,AU,1604033845
‘Āhuimanu,21.44,-157.84,300.93,54,75,3.6,US,1604034098
Nikolskoye,59.7,30.79,283.15,93,90,0.1,RU,1604034098
Ola,59.58,151.28,272.67,90,96,1.64,RU,1604034098
Villefontaine,45.61,5.15,281.48,93,0,0.68,FR,1604034098
Ōdachō-ōda,35.18,132.5,290.15,51,75,7.7,JP,1604034098
East London,-33.02,27.91,288.15,77,0,6.7,ZA,1604034099
Bozoum,6.32,16.38,292.6,93,100,1.57,CF,1604034099
Baní,18.28,-70.33,298.71,89,96,1.34,DO,1604034099
Kemin,42.78,75.69,283.33,42,4,4.29,KG,1604034099
Jamestown,42.1,-79.24,278.71,100,90,4.1,US,1604034099
Bitung,1.45,125.18,303.1,66,29,2.1,ID,1604034100
San Cristobal,7.77,-72.22,291.81,89,91,1.18,VE,1604034100
Paamiut,61.99,-49.67,269.79,88,0,2.06,GL,1604034100
Poum,-20.23,164.02,298.53,73,89,4.83,NC,1604034100
Sangmélima,2.93,11.98,291.24,99,80,0.3,CM,1604034100
Kalmunai,7.42,81.82,304.35,55,81,4.47,LK,1604034101
Toamasina,-18.17,49.38,298.15,73,75,5.7,MG,1604034101
Fuengirola,36.54,-4.62,288.15,81,0,4.1,ES,1604034101
Pevek,69.7,170.31,266.78,97,100,5.71,RU,1604034101
Vallenar,-28.57,-70.76,285.1,77,0,0.06,CL,1604034102
Hailey,43.52,-114.32,279.15,52,5,2.6,US,1604034048
Miraflores,19.22,-98.81,291.15,42,75,4.6,MX,1604034102
San Luis,-33.3,-66.34,286.01,38,94,6.32,AR,1604034102
Saint-Augustin,51.23,-58.65,270.04,86,41,6.45,CA,1604034102
Tuni,17.35,82.55,303.06,56,78,0.26,IN,1604034103
Härnösand,62.63,17.94,276.48,93,0,3.1,SE,1604034103
Geraldton,-28.77,114.6,306.15,29,0,6.2,AU,1604034103
