city,lat,long,max_temp,humidity,cloudiness,wind_spd,country,date
Grindavik,63.84,-22.43,277.15,100,90,4.6,IS,1604034160
San Miguel de Tucumán,-26.82,-65.22,291.15,55,0,2.6,AR,1604034161
Ignalina,55.35,26.17,280.62,95,90,1.78,LT,1604034161
Mosetse,-20.75,26.65,297.67,20,0,6.07,BW,1604034161
Mackay,-21.15,149.2,304.82,55,0,8.7,AU,1604034161
Husavik,66.04,-17.34,280.15,70,90,7.7,IS,1604034161
Kurchum,48.57,83.65,274.4,88,100,4.86,KZ,1604034162
Yulara,-25.24,130.99,300.15,10,0,4.6,AU,1604034162
San Joaquin,37.93,-121.3,289.26,44,1,0.54,US,1604034162
Baruun-Urt,46.68,113.28,283.44,39,100,8.14,MN,1604034163
Loviisa,60.46,26.23,280.37,100,75,0.5,FI,1604034163
Srīvardhan,18.03,73.02,302.28,59,1,2.17,IN,1604034163
Gornyak,50.99,81.47,273.42,97,100,6.51,RU,1604034163
Santa Eulalia,-11.85,-76.68,290.15,82,20,5.7,PE,1604034163
Deputatsky,69.3,139.9,256.21,95,100,0.33,RU,1604034164
Lenoir City,35.8,-84.26,287.59,80,80,3.82,US,1604034064
Mezen',65.85,44.24,278.82,89,97,5.69,RU,1604034164
Hirara,24.8,125.28,298.15,69,75,7.7,JP,1604034164
Port Macquarie,-31.43,152.92,297.59,68,18,5.1,AU,1604034164
Hervey Bay,-25.3,152.85,303.15,42,0,7.7,AU,1604034161
Isangel,-19.55,169.27,301.15,65,75,5.1,VU,1604034165
Kulhudhuffushi,6.62,73.07,301.24,71,67,2.99,MV,1604034165
Grande Prairie,55.17,-118.8,273.36,94,100,2.7,CA,1604034131
Amet,25.3,73.93,300.42,20,0,1.13,IN,1604034165
Jiujiang,29.73,115.98,294.7,57,0,4.09,CN,1604034165
Ati,13.22,18.34,301.58,21,62,4.8,TD,1604034126
Luancheng,37.88,114.65,289.15,48,6,1.0,CN,1604034166
Acaraú,-2.89,-40.12,298.1,85,74,6.38,BR,1604034166
Dzhebariki-Khaya,62.22,135.8,258.93,89,78,0.53,RU,1604034166
Kloulklubed,7.04,134.26,303.15,74,90,3.6,PW,1604034166
Gunjur,13.2,-16.73,296.15,100,47,2.19,GM,1604034167
Santiago del Estero,-27.8,-64.26,289.34,34,60,2.73,AR,1604034167
Knysna,-34.04,23.05,284.15,66,20,2.6,ZA,1604034167
Juba,4.85,31.58,296.59,83,86,2.18,SS,1604034167
Taltal,-25.4,-70.48,285.82,74,31,0.26,CL,1604034167
Ivankiv,50.94,29.89,282.15,100,48,1.0,UA,1604034168
Grand-Santi,4.25,-54.38,296.69,96,91,1.51,GF,1604034168
Sambava,-14.27,50.17,297.2,81,32,5.99,MG,1604034168
Mae Hong Son,19.3,97.97,296.79,86,100,0.6,TH,1604034068
Kamenka,51.32,42.77,280.37,78,100,5.5,RU,1604034168
Abay,49.63,72.85,274.15,69,0,7.0,KZ,1604034169
Alyangula,-13.85,136.42,306.15,46,100,3.6,AU,1604034169
Verāval,20.9,70.37,302.34,43,1,2.72,IN,1604034169
Bredy,52.42,60.34,277.23,68,51,3.77,RU,1604034169
Mushie,-3.02,16.9,294.38,89,96,0.65,CD,1604034170
Kuito,-12.38,16.93,290.17,87,59,0.35,AO,1604034127
Vao,-22.67,167.48,296.46,82,91,7.96,NC,1604034170
Kieta,-6.22,155.63,301.14,78,62,5.0,PG,1604034170
Kuandian,40.73,124.78,286.61,36,0,1.3,CN,1604034170
Santa Isabel,-23.32,-46.22,292.15,93,75,2.6,BR,1604034090
Tāndā,26.55,82.65,302.16,36,0,3.35,IN,1604034171
Saint-Pierre,-21.34,55.48,296.15,56,75,10.3,RE,1604034171
Otradnoye,59.78,30.82,283.15,93,90,0.21,RU,1604034171
Camaná,-16.62,-72.71,290.16,76,44,2.9,PE,1604033976
Los Llanos de Aridane,28.66,-17.92,294.15,68,40,4.1,ES,1604034172
Alofi,-19.06,-169.92,297.15,69,55,9.3,NU,1604034172
Sühbaatar,50.23,106.21,275.12,90,100,2.5,MN,1604034172
Standerton,-26.93,29.24,291.48,54,14,0.45,ZA,1604034172
Chimbote,-9.09,-78.58,289.44,90,100,3.15,PE,1604034172
Laas,46.62,10.7,279.82,93,75,4.1,IT,1604034173
Rūdbār,30.15,62.6,286.24,30,0,1.94,AF,1604034173
Finnsnes,69.23,17.98,270.37,92,40,4.6,NO,1604034173
Birnin Kebbi,12.45,4.2,297.94,26,0,3.04,NG,1604034173
Antofagasta,-23.65,-70.4,288.15,77,90,2.1,CL,1604034173
Kuril'sk,45.23,147.88,281.52,79,95,4.67,RU,1604034174
Cumberland,35.05,-78.87,298.15,83,90,6.7,US,1604034174
Nova Olinda do Norte,-3.89,-59.09,299.19,80,47,1.45,BR,1604034174
Vestmanna,62.16,-7.17,282.15,100,100,13.9,FO,1604034174
Fairview,40.81,-74.0,281.48,93,90,3.6,US,1604034568
Tahoua,14.89,5.27,295.15,28,0,2.1,NE,1604034175
Giżycko,54.04,21.76,279.48,92,25,4.68,PL,1604034175
Pervomayskoye,43.92,46.71,291.12,77,95,6.58,RU,1604034175
Luan,46.36,6.98,281.48,97,70,1.5,CH,1604034175
Batticaloa,7.71,81.69,303.69,58,19,4.07,LK,1604034175
Dawlatabad,36.41,64.91,284.65,35,0,0.93,AF,1604034175
Sarkand,45.41,79.92,280.4,48,34,1.99,KZ,1604034176
Arrondissement de Saint-Gaudens,43.08,0.67,280.37,93,0,2.6,FR,1604034176
Muros,42.78,-9.06,282.04,94,1,3.49,ES,1604034176
Kavaratti,10.57,72.64,301.5,67,0,3.48,IN,1604034176
Heyang,26.1,107.47,293.31,73,91,1.14,CN,1604034176
Boa Vista,2.82,-60.67,300.15,78,0,1.0,BR,1604033914
Chumikan,54.72,135.31,276.53,76,100,7.76,RU,1604034177
San Carlos,9.66,-68.58,296.12,90,21,1.47,VE,1604034177
Denpasar,-8.65,115.22,302.05,75,64,4.22,ID,1604034177
Abonnema,4.71,6.79,295.15,100,40,1.38,NG,1604034177
Athens,37.98,23.72,290.37,87,20,1.39,GR,1604034086
Neiafu,-18.65,-173.98,297.15,64,40,4.6,TO,1604034178
Buala,-8.14,159.59,299.85,80,100,3.05,SB,1604034178
Katsuura,35.13,140.3,291.48,48,75,4.6,JP,1604034162
Dekar,-21.53,21.93,299.05,25,54,3.89,BW,1604034178
Nacala,-14.54,40.67,301.94,56,0,2.98,MZ,1604034179
Raudeberg,61.99,5.14,280.37,76,0,4.08,NO,1604034179
Saint-Louis,16.33,-15.0,301.76,17,82,4.38,SN,1604034179
Sémbé,1.65,14.58,293.38,94,100,0.21,CG,1604034179
Filimonovo,56.2,95.46,272.66,78,71,5.64,RU,1604034179
Broken Hill,-31.95,141.43,287.15,82,90,8.7,AU,1604034180
Hofn,64.25,-15.21,280.42,88,100,7.34,IS,1604034180
Anderson,34.53,-82.65,290.15,59,1,6.7,US,1604034180
Cap Malheureux,-19.98,57.61,297.04,52,0,4.92,MU,1604034064
Codrington,-38.27,141.97,288.6,85,70,7.76,AU,1604034180
Nadym,65.53,72.52,266.39,97,100,4.26,RU,1604034180
Puerto Madryn,-42.77,-65.04,285.46,58,74,4.95,AR,1604034049
Kharagpur,22.33,87.33,302.04,54,22,4.66,IN,1604034002
Skjervøy,70.03,20.97,274.15,80,75,7.2,NO,1604034181
Atambua,-9.11,124.89,303.97,52,9,0.91,ID,1604034181
Ostrovnoy,68.05,39.51,275.62,90,100,6.32,RU,1604034182
Bubaque,11.28,-15.83,302.04,71,28,3.72,GW,1604034182
Ayorou,14.73,0.92,299.0,18,0,2.66,NE,1604034182
Banyo,6.75,11.82,290.94,85,100,0.93,CM,1604034182
Maţāy,28.42,30.78,293.81,72,42,7.96,EG,1604034183
Schwarzenbach,49.73,12.0,282.59,93,90,2.6,DE,1604034183
Porto,41.15,-8.61,286.15,93,75,3.1,PT,1604033921
Mbanza-Ngungu,-5.25,14.87,293.51,98,100,0.95,CD,1604034183
Gēdo,9.02,37.45,285.17,62,26,1.62,ET,1604034183
Pacific Grove,36.62,-121.92,285.93,93,20,2.6,US,1604034184
Fortuna,40.6,-124.16,282.15,100,20,2.1,US,1604034184
Imbituba,-28.24,-48.67,289.15,87,75,5.7,BR,1604033964
Monywa,22.12,95.13,301.47,73,80,2.18,MM,1604034184
Daru,-9.08,143.21,301.72,70,20,4.28,PG,1604034185
Tadine,-21.55,167.88,298.19,75,61,6.31,NC,1604034185
Roald,62.58,6.13,279.26,87,0,0.89,NO,1604034185
Seminole,28.71,-81.21,299.26,78,1,3.6,US,1604034185
Presidencia Roque Sáenz Peña,-26.79,-60.44,286.69,70,2,1.95,AR,1604034185
Charter Township of Clinton,42.59,-82.92,278.15,80,90,6.7,US,1604034186
Coxquihui,20.18,-97.58,291.66,64,100,2.08,MX,1604034186
Kutum,14.2,24.67,294.22,29,4,4.86,SD,1604034186
Srednekolymsk,67.45,153.68,257.87,94,100,0.68,RU,1604034186
Fier,40.72,19.56,288.76,79,92,1.79,AL,1604034186
Najrān,17.49,44.13,288.15,25,0,0.6,SA,1604034187
Upata,8.01,-62.4,300.37,83,91,0.45,VE,1604034187
Korla,41.76,86.15,284.37,40,57,2.8,CN,1604034187
Hue,16.47,107.6,300.15,88,40,3.1,VN,1604034008
Yenangyaung,20.47,94.88,301.83,70,92,4.04,MM,1604034187
Kaseda-shirakame,31.42,130.32,293.15,52,20,1.0,JP,1604034188
Moussoro,13.64,16.49,300.32,21,6,6.46,TD,1604034188
Charlottesville,38.03,-78.48,285.15,87,90,3.6,US,1604034581
Yerbogachën,61.28,108.01,264.53,93,100,2.44,RU,1604034189
La Ronge,55.1,-105.28,266.93,96,54,2.91,CA,1604034189
Mayumba,-3.43,10.66,297.92,88,82,1.46,GA,1604034189
Boende,-0.22,20.87,293.48,98,99,0.56,CD,1604034189
Raja,8.46,25.68,294.9,85,91,3.0,SS,1604034189
Hay River,60.82,-115.8,265.92,95,100,2.49,CA,1604034004
Bongaree,-27.08,153.16,303.15,38,0,1.34,AU,1604034190
Ossora,59.24,163.07,274.14,91,64,3.6,RU,1604034190
Bulawayo,-20.15,28.58,295.25,31,0,3.99,ZW,1604034190
Puerto Baquerizo Moreno,-0.9,-89.6,293.3,92,89,4.45,EC,1604034190
Obzor,42.82,27.88,285.93,93,40,2.1,BG,1604034191
Lamu,-2.27,40.9,299.15,94,75,2.1,KE,1604034191
Philadelphia,39.95,-75.16,282.15,93,90,3.1,US,1604034094
Jieshi,22.81,115.83,301.48,63,87,8.22,CN,1604034191
Dalhousie,32.53,75.98,292.12,25,0,1.84,IN,1604034191
Marshalltown,42.05,-92.91,273.15,92,75,2.6,US,1604034192
Redmond,47.67,-122.12,283.15,95,26,1.54,US,1604033993
Dingle,11.0,122.67,299.0,88,100,2.43,PH,1604034192
Soignies,50.58,4.07,286.48,87,97,8.7,BE,1604034192
Örnsköldsvik,63.29,18.72,274.15,100,0,2.1,SE,1604034192
Kasongo-Lunda,-6.47,16.82,294.7,93,100,0.71,CD,1604034192
Ankara,39.92,32.85,284.82,93,75,1.5,TR,1604034017
